 
-- ======================================================================
--                     Simulation tb_05 start                               
-- ======================================================================
---- Initial simulation
// ================================================================
// File Name    : log.txt                                          
// Test Pattern : tb_05                                     
// ================================================================
---- clock ---- 1111 ---- enable
---- Wait for  64 cycles end
---- Wait for  64 cycles end
---- LBUS BRAM write   ADD :0x00010000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00020000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00040000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00080000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00100000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00200000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00400000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM write   ADD :0x00800000    SIZE :0x100
---- LBUS BRAM write end
---- LBUS BRAM read   ADD :0x00010000    SIZE :0x100
---- [Error      ]Read bram ADD :0x010000  EDAT :0x00000000  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010001  EDAT :0x00000001  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010002  EDAT :0x00000002  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010003  EDAT :0x00000003  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010004  EDAT :0x00000004  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010005  EDAT :0x00000005  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010006  EDAT :0x00000006  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010007  EDAT :0x00000007  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010008  EDAT :0x00000008  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010009  EDAT :0x00000009  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01000a  EDAT :0x0000000a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01000b  EDAT :0x0000000b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01000c  EDAT :0x0000000c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01000d  EDAT :0x0000000d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01000e  EDAT :0x0000000e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01000f  EDAT :0x0000000f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010010  EDAT :0x00000010  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010011  EDAT :0x00000011  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010012  EDAT :0x00000012  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010013  EDAT :0x00000013  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010014  EDAT :0x00000014  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010015  EDAT :0x00000015  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010016  EDAT :0x00000016  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010017  EDAT :0x00000017  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010018  EDAT :0x00000018  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010019  EDAT :0x00000019  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01001a  EDAT :0x0000001a  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01001b  EDAT :0x0000001b  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01001c  EDAT :0x0000001c  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01001d  EDAT :0x0000001d  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01001e  EDAT :0x0000001e  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x01001f  EDAT :0x0000001f  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010020  EDAT :0x00000020  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010021  EDAT :0x00000021  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010022  EDAT :0x00000022  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010023  EDAT :0x00000023  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010024  EDAT :0x00000024  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010025  EDAT :0x00000025  RDAT :0xffffffff
---- [Error      ]Read bram ADD :0x010026  EDAT :0x00000026  RDAT :0xffffffff
